,Date,type,Month,Open,High,Low,Close,Price change,Price change Ratio,Volume,Final Price,# of OC,Final BBP,Final BSP,Hitorical HP,Historical LP,MA5,MA10,MA20,BBAND5UP,BBAND5LOW,BBAND10UP,BBAND10LOW,BBAND20UP,BBAND20LOW,OutLots
95,2010-05-26,TX,201006,7122,7154,7045,7122,70,0.99%,128300,7123,55816,7122,7125,8228,6400,7293.6,7479.7,7630.9,7225.020924,6878.979076,7848.438467,7389.561533,8143.86434,7616.13566,0
96,2010-05-27,TX,201006,7103,7234,7056,7202,79,1.11%,133780,7200,53925,7202,7203,8228,6400,7202.8,7433.2,7585.25,7229.846929,7014.153071,7825.245582,7326.754418,7925.93231,7388.06769,0
97,2010-05-28,TX,201006,7289,7328,7221,7280,80,1.11%,127565,7277,52872,7280,7281,8228,6400,7171.8,7377.3,7543.2,7278.906177,7125.093823,7588.513736,7125.486264,7838.660663,7319.339337,0
98,2010-05-31,TX,201006,7302,7333,7255,7325,48,0.66%,81072,7325,53281,7325,7327,8228,6400,7186.0,7329.3,7507.75,7368.190702,7191.809298,7402.895358,7015.104642,7746.323121,7257.676879,0
99,2010-06-01,TX,201006,7283,7321,7220,7244,-81,-1.11%,131341,7243,54879,7243,7245,8228,6400,7196.2,7301.6,7477.45,7424.944785,7225.055215,7445.445152,7102.554848,7863.91088,7410.08912,0
100,2010-06-02,TX,201006,7193,7282,7101,7140,-103,-1.42%,146272,7140,59459,7140,7141,8228,6400,7234.6,7264.1,7445.65,7313.373194,7174.626806,7187.072906,6916.927094,7780.367435,7355.632565,0
101,2010-06-03,TX,201006,7253,7341,7252,7338,198,2.77%,110634,7338,60126,7337,7338,8228,6400,7238.2,7220.5,7419.8,7203.669145,7076.330855,7212.308637,7031.691363,7803.493326,7370.506674,0
102,2010-06-04,TX,201006,7338,7348,7305,7321,-17,-0.23%,62707,7318,59158,7319,7321,8228,6400,7265.4,7218.6,7407.75,7409.019997,7266.980003,7289.575339,7114.424661,7974.989457,7547.010543,0
103,2010-06-07,TX,201006,7100,7128,7035,7097,-221,-3.02%,128756,7097,60432,7097,7098,8228,6400,7273.6,7229.8,7398.7,7395.513355,7246.486645,7372.646425,7187.353575,7973.639205,7546.360795,0
104,2010-06-08,TX,201006,7097,7139,7075,7129,32,0.45%,86675,7128,60261,7129,7131,8228,6400,7228.0,7212.1,7371.7,7192.822753,7001.177247,7424.188155,7225.811845,7817.927094,7386.072906,0
105,2010-06-09,TX,201006,7080,7139,6990,7038,-90,-1.26%,125232,7037,62924,7038,7039,8228,6400,7205.0,7219.8,7349.75,7231.771591,7026.228409,7332.917715,7155.082285,7836.166267,7401.833733,0
106,2010-06-10,TX,201006,7068,7164,7038,7163,126,1.79%,109141,7161,59429,7161,7162,8228,6400,7184.6,7211.4,7322.3,7159.978031,6916.021969,7240.917987,7039.082013,7796.119763,7355.880237,0
107,2010-06-11,TX,201006,7316,7317,7244,7293,132,1.84%,84575,7292,54735,7293,7294,8228,6400,7149.6,7207.5,7292.4,7258.08228,7067.91772,7439.954156,7236.045844,7555.001616,7158.998384,0
108,2010-06-14,TX,201006,7356,7395,7336,7382,90,1.23%,76580,7386,44922,7382,7385,8228,6400,7144.0,7208.8,7269.05,7378.125789,7207.874211,7423.948337,7218.051663,7375.514106,7042.485894,0
109,2010-06-15,TX,201006,7378,7498,7364,7459,73,0.99%,93703,7457,31541,7458,7459,8228,6400,7201.0,7214.5,7258.05,7504.001639,7259.998361,7207.523527,6986.476473,7424.668668,7123.331332,0
110,2010-06-17,TX,201006,7518,7537,7479,7519,62,0.83%,57082,0,20470,7519,7520,8228,6400,7267.0,7236.0,7250.05,7610.011258,7307.988742,7261.831472,6996.168528,7186.691676,6917.308324,0
111,2010-06-18,TX,201007,7364,7387,7297,7352,3,0.04%,96166,7349,46265,7350,7351,7451,6866,7363.2,7273.9,7247.2,7644.549034,7393.450966,7190.627291,6885.372709,7250.211778,6993.788222,0
112,2010-06-21,TX,201007,7440,7525,7408,7523,174,2.37%,114904,7521,47482,7523,7524,7525,6866,7401.0,7275.3,7246.95,7431.641698,7272.358302,7316.271687,7009.728313,7330.002139,7073.997861,0
113,2010-06-22,TX,201007,7480,7506,7468,7480,-41,-0.55%,61354,7481,44862,7480,7482,7525,6866,7447.0,7295.5,7262.65,7592.791117,7453.208883,7463.325717,7122.674283,7420.983075,7139.016925,0
114,2010-06-23,TX,201007,7430,7478,7388,7437,-44,-0.59%,98541,7433,46829,7435,7437,7525,6866,7466.6,7333.8,7272.95,7542.124391,7417.875609,7546.340378,7217.659622,7473.74726,7176.25274,0
115,2010-06-24,TX,201007,7431,7456,7398,7427,-6,-0.08%,69407,7428,46753,7427,7429,7525,6866,7462.2,7364.6,7292.2,7500.275272,7373.724728,7610.426022,7307.573978,7387.735382,7100.264618,0
116,2010-06-25,TX,201007,7341,7385,7302,7324,-104,-1.40%,101937,7322,46679,7322,7324,7525,6866,7443.8,7403.5,7307.45,7484.164325,7369.835675,7624.542645,7413.457355,7281.022862,6998.977138,0
117,2010-06-28,TX,201007,7334,7375,7326,7362,40,0.55%,57111,7363,47190,7362,7366,7525,6866,7438.2,7419.6,7313.55,7390.493308,7257.506692,7427.683816,7276.316184,7476.953041,7199.046959,0
118,2010-06-29,TX,201007,7393,7453,7251,7252,-111,-1.51%,136712,7254,49538,7251,7252,7525,6866,7406.0,7426.5,7317.65,7417.745852,7306.254148,7589.40369,7456.59631,7460.112284,7181.887716,0
119,2010-06-30,TX,201007,7126,7168,7092,7153,-101,-1.39%,88601,7153,50267,7153,7154,7525,6866,7360.4,7413.5,7314.0,7320.383039,7183.616961,7564.186994,7395.813006,7236.827394,6957.172606,0
120,2010-07-01,TX,201007,7123,7147,7061,7101,-52,-0.73%,113002,7100,51565,7103,7104,7525,6866,7303.6,7382.9,7309.45,7247.230781,7058.769219,7549.8277,7324.1723,7272.464447,6985.535553,0
121,2010-07-02,TX,201007,7135,7216,7116,7165,65,0.92%,105182,7161,51883,7165,7166,7525,6866,7238.4,7341.1,7307.5,7199.955748,7002.044252,7557.680106,7296.319894,7183.997089,6892.002911,0
122,2010-07-05,TX,201007,7185,7325,7168,7324,163,2.28%,108042,7322,50430,7321,7325,7525,6866,7206.6,7322.4,7298.85,7256.613536,7073.386464,7464.772298,7183.227702,7312.027271,7013.972729,0
123,2010-07-06,TX,201007,7262,7458,7246,7456,134,1.83%,124317,7455,50066,7453,7456,7525,6866,7199.0,7302.5,7299.0,7403.1328,7244.8672,7486.08485,7237.91515,7442.050998,7143.949002,0
